id,first name,last name,age,email,phone
96,Olivia,Smith,18,generate1@ttt.by,+375294445544
97,Amelia,Johnson,20,generate1@ttt.by,+375294445544
98,Isla,Williams,21,generate1@ttt.by,+37529444554
99,Emily,Jones,22,generate1@ttt,+375294445544
100,Ava,Brown,18,generate1@ttt.by,+375294445544
101,Oliver,Davis,18,generate1@ttt.by,+375294445544
102,Harry,Miller,19,generate1@ttt.by,+375294445544
103,Jack,Wilson,23,generate1@ttt.by,+375294445544
104,George,Moore,23,generate,375294445544
105,Noah,Taylor,20,generate1@ttt.by,+375294445544
